payment_id,enrollment_id,installment_number,amount_due,due_date,amount_paid,payment_date,payment_status
48,ENR-018,1,88000.00,2026-03-24,88000.00,2026-03-24,paid
49,ENR-018,2,131000.00,2026-04-23,131000.00,2026-04-23,paid
50,ENR-018,3,131000.00,2026-05-23,131000.00,2026-05-23,paid
51,ENR-019,1,400000.00,2026-06-09,400000.00,2026-06-09,paid
52,ENR-020,1,204000.00,2026-03-29,204000.00,2026-03-29,paid
53,ENR-020,2,146000.00,2026-05-13,0.00,NULL,defaulted
54,ENR-021,1,210000.00,2025-07-23,210000.00,2025-07-23,paid
55,ENR-021,2,190000.00,2025-09-06,190000.00,2025-09-06,paid
56,ENR-022,1,196000.00,2026-05-31,196000.00,2026-05-31,paid
57,ENR-022,2,154000.00,2026-07-15,154000.00,2026-07-15,paid
58,ENR-023,1,164000.00,2025-12-13,164000.00,2025-12-13,paid
59,ENR-023,2,186000.00,2026-01-27,186000.00,2026-01-27,paid
60,ENR-024,1,69000.00,2025-12-18,69000.00,2025-12-18,paid
61,ENR-024,2,115500.00,2026-01-17,0.00,NULL,defaulted
62,ENR-024,3,115500.00,2026-02-16,0.00,NULL,defaulted
63,ENR-025,1,92000.00,2025-10-31,92000.00,2025-10-31,paid
64,ENR-025,2,104000.00,2025-11-30,110726.96,2025-11-30,paid
65,ENR-025,3,104000.00,2025-12-30,104000.00,2025-12-30,paid
66,ENR-026,1,25000.00,2026-04-09,25000.00,2026-04-09,paid
67,ENR-026,2,375000.00,2026-05-24,0.00,NULL,defaulted
68,ENR-027,1,117000.00,2026-07-02,117000.00,2026-07-02,paid
69,ENR-027,2,116500.00,2026-08-01,116500.00,2026-07-27,paid
70,ENR-027,3,116500.00,2026-08-31,116500.00,2026-08-31,paid
71,ENR-028,1,76000.00,2026-02-13,76000.00,2026-02-14,paid_late
72,ENR-028,2,81000.00,2026-03-15,81000.00,2026-03-15,paid
73,ENR-028,3,81000.00,2026-04-14,81000.00,2026-04-14,paid
74,ENR-028,4,81000.00,2026-05-14,81000.00,2026-05-14,paid
75,ENR-028,5,81000.00,2026-06-13,81000.00,2026-06-13,paid
76,ENR-029,1,34000.00,2025-11-02,34000.00,2025-11-02,paid
77,ENR-029,2,63200.00,2025-12-02,0.00,NULL,defaulted
78,ENR-029,3,63200.00,2026-01-01,0.00,NULL,defaulted
79,ENR-029,4,63200.00,2026-01-31,0.00,NULL,defaulted
80,ENR-029,5,63200.00,2026-03-02,0.00,NULL,defaulted
81,ENR-029,6,63200.00,2026-04-01,0.00,NULL,defaulted
82,ENR-030,1,115000.00,2026-03-20,115000.00,2026-03-20,paid
83,ENR-030,2,117500.00,2026-04-19,117500.00,2026-04-18,paid
84,ENR-030,3,117500.00,2026-05-19,117500.00,2026-05-19,paid
85,ENR-031,1,34000.00,2025-07-27,34000.00,2025-07-27,paid
86,ENR-031,2,366000.00,2025-09-10,0.00,NULL,defaulted
87,ENR-032,1,30000.00,2026-03-24,30000.00,2026-03-24,paid
88,ENR-032,2,135000.00,2026-04-23,135000.00,2026-04-23,paid
89,ENR-032,3,135000.00,2026-05-23,0.00,NULL,defaulted
90,ENR-033,1,78000.00,2025-10-26,78000.00,2025-10-26,paid
91,ENR-033,2,136000.00,2025-11-25,136000.00,2025-11-25,paid
92,ENR-033,3,136000.00,2025-12-25,141366.90,2025-12-25,paid
93,ENR-034,1,122000.00,2026-07-03,122000.00,2026-07-06,paid_late
94,ENR-034,2,114000.00,2026-08-02,114000.00,2026-08-02,paid
95,ENR-034,3,114000.00,2026-09-01,0.00,NULL,pending
96,ENR-035,1,104000.00,2026-07-08,104000.00,2026-07-08,paid
97,ENR-035,2,49200.00,2026-08-07,0.00,NULL,pending
98,ENR-035,3,49200.00,2026-09-06,0.00,NULL,pending
99,ENR-035,4,49200.00,2026-10-06,0.00,NULL,pending
100,ENR-035,5,49200.00,2026-11-05,0.00,NULL,pending
101,ENR-035,6,49200.00,2026-12-05,0.00,NULL,pending
